"Route","Type","HTTP","SSR","Hydration","Anonymous","Authenticated","Mobile","Metadata","Console","Network","Notes","Source","Methods","AuthContract"
"/","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/page.tsx","PAGE","public-or-unspecified"
"/admin","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/admin/page.tsx","PAGE","guard-or-session-detected"
"/ai-policy","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/ai-policy/page.tsx","PAGE","public-or-unspecified"
"/ai/[locale]/archive.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/archive.md/route.ts","GET","public-or-unspecified"
"/ai/[locale]/author.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/author.md/route.ts","GET","public-or-unspecified"
"/ai/[locale]/books/konec-podpory.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/books/konec-podpory.md/route.ts","GET","public-or-unspecified"
"/ai/[locale]/books/synthoma-null.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/books/synthoma-null.md/route.ts","GET","public-or-unspecified"
"/ai/[locale]/cards/[...path]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/cards/[...path]/route.ts","GET","public-or-unspecified"
"/ai/[locale]/cards/index.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/cards/index.md/route.ts","GET","public-or-unspecified"
"/ai/[locale]/chapters/[...path]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/chapters/[...path]/route.ts","GET","public-or-unspecified"
